名字,室,厅,面积,朝向,精装还是简装,挂牌价,成交价,价格,建房时间,成交周期
卓锦城六期,3,1,89.49平米,西北,其他,1900000,1900000,21232,高楼层(共24层) 2014年建板塔结合,3
朝阳时代西锦,2,2,90.9平米,东,毛坯,900000,890000,9791,中楼层(共33层) 2014年建板塔结合,98
金科一城,3,2,97.46平米,西,精装,1580000,1560000,16007,低楼层(共20层) 2012年建塔楼,227
海科智城,2,2,82.96平米,东南,毛坯,650000,650000,7836,高楼层(共17层) 2010年建板楼,50
草堂北路22号,3,1,76平米,南,简装,1300000,1300000,17106,低楼层(共6层) 2002年建板楼,33
保利公园198丁香郡,4,2,125.66平米,东南,精装,1380000,1380000,10943,低楼层(共26层) 2012年建塔楼,54
蓝光COCO金沙三期,3,1,62.03平米,东南,精装,1350000,1350000,21764,中楼层(共17层) 2015年建板塔结合,1
天府江南C区,2,2,75.22平米,南,精装,790000,770000,10171,高楼层(共18层) 板楼,17
南城都汇汇智园二期,2,1,89.3平米,南 北,其他,2170000,2160000,24189,高楼层(共18层) 2010年建板塔结合,201
天和国际,3,2,140.17平米,南,精装,2150000,2150000,15339,低楼层(共26层) 2009年建板塔结合,71
蓝光富丽花城,3,1,94.97平米,西南,其他,1368000,1370000,14405,高楼层(共18层) 2008年建板塔结合,144
紫檀,3,2,155.41平米,东,毛坯,4200000,4200000,27026,中楼层(共27层) 2017年建板塔结合,81
万科金色乐府,2,1,77.15平米,西,精装,1698000,1650000,21387,低楼层(共37层) 2016年建板塔结合,167
五福佳苑,1,1,46.78平米,东,简装,550000,540000,11458,高楼层(共18层) 2016年建塔楼,268
百悦天鹅湖,3,1,101.58平米,南 北,精装,1680000,1730000,17031,低楼层(共26层) 2015年建板塔结合,417
南城都汇汇晴园五期,3,2,89.76平米,南,精装,2080000,2080000,23173,中楼层(共18层) 2014年建板楼,86
金科一城,2,2,72.46平米,东 西,精装,1108000,1110000,15292,中楼层(共20层) 2008年建塔楼,41
茶店子育苗路10号,2,1,55.7平米,东,精装,610000,610000,10952,低楼层(共6层) 2000年建板楼,7
北欧知识城一期,3,2,103.41平米,东,毛坯,1028000,1030000,9942,低楼层(共30层) 2013年建板塔结合,525
泉水北苑,1,1,49.62平米,南,精装,550000,550000,11081,高楼层(共6层) 2003年建板楼,72
楠苑(双流),2,1,68.37平米,西南,其他,640000,640000,9361,低楼层(共6层) 2007年建板楼,27
清水河畔,1,1,50.09平米,西南,简装,720000,700000,13876,中楼层(共23层) 2008年建板塔结合,29
包家巷16号,2,1,49.28平米,东北,简装,1500000,1500000,30439,中楼层(共6层) 1990年建板楼,10
七化建宿舍,2,2,73平米,东南 西南,精装,700000,680000,9316,低楼层(共6层) 1998年建板楼,167
保利香槟光华,2,1,56.01平米,西,简装,1080000,1080000,19247,高楼层(共18层) 2014年建板楼,47
中信城右岸,3,2,103.94平米,东北,简装,1620000,1620000,15586,低楼层(共33层) 2018年建板塔结合,178
南阳盛世,2,1,86.4平米,东南,简装,1380000,1350000,15602,高楼层(共29层) 2011年建板塔结合,15
红枫岭三期,2,1,89.49平米,东南,精装,1350000,1350000,15086,中楼层(共33层) 2009年建板塔结合,7
派克公馆,2,2,68.81平米,西北,精装,800000,800000,11627,中楼层(共18层) 2011年建塔楼,179
龙府花园,2,2,65.69平米,南,简装,698000,690000,10443,高楼层(共5层) 2008年建板楼,355
青南美湾,2,1,54平米,西,精装,1130000,1100000,20371,高楼层(共24层) 板楼,66
西西里二期,2,1,77.46平米,西北,精装,1340000,1330000,17171,高楼层(共34层) 2009年建板塔结合,136
电建地产云立方,2,1,85.46平米,西,简装,1260000,1240000,14487,高楼层(共34层) 2015年建板塔结合,3
西汇鹃声里,2,2,67.55平米,东南,精装,580000,580000,8587,中楼层(共27层) 2013年建板楼,217
成外雅庭,1,1,65.22平米,西南,精装,638000,640000,9783,低楼层(共18层) 2008年建塔楼,194
保利叶语,3,1,81.99平米,东,精装,1500000,1460000,17759,中楼层(共32层) 2015年建板塔结合,233
中铁瑞景颐城,2,1,78.78平米,南,精装,1680000,1680000,21326,高楼层(共21层) 2013年建板楼,192
中洲锦城湖岸,3,1,92.27平米,东,毛坯,2790000,2750000,29804,高楼层(共32层) 2018年建板塔结合,70
万景峰一期,3,2,85.55平米,南,精装,1128000,1130000,13186,高楼层(共33层) 2012年建板塔结合,10
东城印象小区,3,1,84.73平米,西北,精装,1330000,1330000,15697,高楼层(共28层) 2017年建塔楼,153
海椒市街13号,3,1,89.87平米,东南,精装,1000000,1000000,11128,高楼层(共7层) 1998年建板楼,343
隆鑫十里画卷,3,2,115.21平米,南,其他,1605000,1610000,13932,中楼层(共13层) 2016年建塔楼,1
华润二十四城六期,3,2,88平米,西,精装,2200000,2100000,23864,高楼层(共32层) 2016年建板塔结合,69
丽阳嘉园,4,2,154.09平米,南,精装,1660000,1660000,10773,高楼层(共6层) 2004年建板楼,230
香木林加州国际,1,1,45.13平米,西南,精装,590000,580000,12852,中楼层(共18层) 2009年建板塔结合,60
金牛万达D组团,1,1,50.39平米,东,简装,800000,800000,15877,中楼层(共32层) 2013年建塔楼,8
佳兆业丽晶港,4,2,123.49平米,南,毛坯,1850000,1800000,14577,中楼层(共33层) 2012年建板塔结合,798
融创凯旋公馆,2,2,53.84平米,南,精装,720000,710000,13151,中楼层(共28层) 2016年建板塔结合,16
育才竹岛,4,2,175.05平米,西北,精装,3200000,3190000,18224,低楼层(共32层) 2008年建板塔结合,207
馨宁居一期,2,2,73.92平米,西北,精装,890000,890000,11973,中楼层(共7层) 板楼,56
万峰城B区MINI公馆,3,2,80.1平米,南,毛坯,1260000,1250000,15581,低楼层(共27层) 塔楼,171
朝阳时代西锦,3,2,116平米,北,毛坯,1200000,1200000,10345,中楼层(共33层) 2014年建板塔结合,293
电视台新宿舍,4,2,248.38平米,北,简装,1780000,1780000,7167,低楼层(共6层) 2000年建板楼,253
隆鑫九熙三期,1,1,62.35平米,西,精装,945000,920000,14756,中楼层(共30层) 2014年建塔楼,68
通瑞月光湖,2,1,88.55平米,东南,精装,1150000,1140000,12818,高楼层(共26层) 板楼,222
蓝光乐彩城二期,3,1,65平米,东南,精装,1200000,1200000,18400,中楼层(共27层) 板塔结合,18
佳兆业8号,2,2,75.59平米,南,精装,1065000,1070000,14090,中楼层(共14层) 2014年建板塔结合,16
锦汇城,2,1,65.94平米,东,毛坯,410000,410000,6218,中楼层(共32层) 板楼,449
宏达世纪锦城,2,1,84.17平米,东北,其他,1250000,1260000,14970,高楼层(共39层) 2012年建塔楼,15
清水路苑,2,2,89平米,南,简装,1220000,1210000,13596,中楼层(共18层) 2012年建板楼,18
锦都,1,1,56.11平米,东南,精装,1499000,1500000,26716,低楼层(共25层) 2004年建板塔结合,20
沪都家园东区,2,1,78.34平米,东,毛坯,549000,540000,6830,中楼层(共18层) 2011年建塔楼,15
万科金色领域,2,2,81.82平米,东,精装,1480000,1470000,17906,高楼层(共24层) 2012年建板塔结合,25
橄榄郡,3,2,123.99平米,东南,精装,1520000,1520000,12260,低楼层(共6层) 2008年建板楼,161
置信丽都玉园天俊,3,2,151.95平米,东,精装,2900000,3050000,20073,高楼层(共12层) 2007年建板楼,186
瑞升橡树林华府,3,1,92平米,东,精装,1830000,1810000,19587,中楼层(共32层) 2015年建塔楼,34
华都美林湾,2,1,83.85平米,东南 西南 西北,精装,1500000,1500000,17890,高楼层(共11层) 2012年建塔楼,8
天府香城印象,3,2,91.12平米,西,毛坯,910000,910000,9987,高楼层(共26层) 2012年建板塔结合,49
东大街22附3,3,1,74平米,西南,毛坯,470000,450000,6082,低楼层(共8层) 板楼,34
锦城名都,2,1,76.82平米,西北,简装,1390000,1360000,17639,中楼层(共32层) 2009年建板塔结合,227
中铁银杏广场,1,0,39.84平米,东南,简装,205000,210000,5146,高楼层(共13层) 2016年建塔楼,26
龙光君悦华庭一期,3,2,84平米,南 北,精装,1080000,1080000,12858,高楼层(共26层) 2016年建塔楼,77
南湖国际社区,1,1,56.35平米,西,精装,940000,930000,16504,高楼层(共34层) 2010年建板塔结合,63
实业街17号,2,2,84.52平米,南,简装,2760000,2760000,32655,中楼层(共7层) 1994年建板楼,20
成华奥园广场二期,3,1,91.69平米,东南,精装,1715000,1720000,18705,中楼层(共39层) 2018年建板塔结合,68
天空城,2,2,87.4平米,东南,精装,1350000,1350000,15447,高楼层(共32层) 2010年建板塔结合,252
南湖逸家二期,3,1,73.59平米,南,简装,1400000,1400000,19025,低楼层(共34层) 2017年建板塔结合,179
德源第一城西蜀甲府,2,2,72.75平米,东,其他,700000,690000,9485,中楼层(共29层) 平房,3
空港晶座,3,2,98.75平米,南,毛坯,1200000,1160000,11747,高楼层(共22层) 2012年建板楼,82
鑫苑名家一期,2,1,62.46平米,东,精装,920000,920000,14730,中楼层(共34层) 2011年建板塔结合,5
东虹路63号院,2,1,75.65平米,西,简装,758000,760000,10020,高楼层(共6层) 板楼,21
万科第五城,3,2,78.08平米,北,精装,1250000,1240000,15882,中楼层(共27层) 板塔结合,51
中信未来城南区,4,2,117.75平米,西南 南,简装,1320000,1320000,11211,高楼层(共33层) 2013年建板塔结合,266
家益欣城,3,2,121.94平米,南,精装,1950000,1900000,15582,低楼层(共25层) 2010年建板塔结合,10
中铁城锦南汇,3,2,88平米,东 西南,简装,1646000,1650000,18705,低楼层(共39层) 2016年建塔楼,23
团结小区,2,2,73平米,东,简装,760000,760000,10411,中楼层(共6层) 板楼,10
元益花园,1,1,39.66平米,西,精装,630000,630000,15886,高楼层(共21层) 2014年建板楼,32
城南名著,3,1,99.01平米,东南,精装,1670000,1670000,16867,高楼层(共11层) 2007年建板楼,208
优品道珑苑,3,1,73平米,南,毛坯,870000,860000,11781,中楼层(共32层) 2018年建塔楼,162
小城故事,4,2,150.17平米,东南,精装,1230000,1230000,8191,高楼层(共6层) 暂无数据,161
泰合新光华府,3,1,96.32平米,东南,精装,1168000,1170000,12127,低楼层(共32层) 2015年建板塔结合,694
中冶田园世界,2,2,70.85平米,东南 东北,精装,700000,700000,9881,高楼层(共30层) 2013年建板塔结合,144
蓉上坊二期,3,1,136.17平米,东南,精装,3600000,3490000,25594,高楼层(共33层) 2010年建板塔结合,163
北京城建龙樾湾,3,2,93.18平米,东,毛坯,1275000,1280000,13684,高楼层(共34层) 2014年建板塔结合,35
怡华居,2,1,61.38平米,东南,其他,520000,520000,8472,高楼层(共6层) 2006年建板楼,229
华润国际社区,4,1,93.88平米,东北,精装,1470000,1470000,15659,低楼层(共34层) 2016年建板塔结合,61
青羊北路9号,2,1,51.25平米,南,简装,610000,610000,11903,低楼层(共3层) 暂无数据,13
丹郡F区,3,2,117.63平米,南,精装,1130000,1130000,9564,高楼层(共24层) 板楼,155
锦江城市花园一期,3,1,106平米,西南,其他,2110000,2080000,19623,低楼层(共34层) 2009年建板塔结合,73
中房学府海棠一期,1,0,48.17平米,东南,其他,390000,360000,7474,高楼层(共13层) 板楼,23
中信城左岸,3,2,96.63平米,西南,毛坯,1930000,1900000,19663,中楼层(共32层) 板塔结合,39
南湖国际社区一期,3,1,126.76平米,东,毛坯,2160000,2240000,17672,中楼层(共34层) 2010年建塔楼,41
浪琴湾,3,1,122.5平米,南,精装,2450000,2430000,19837,中楼层(共6层) 2004年建板楼,42
西汇佳苑,3,2,118.97平米,南 北,简装,850000,840000,7019,高楼层(共6层) 2006年建板楼,39
新园社区,1,1,43平米,南,简装,500000,500000,11628,中楼层(共6层) 板塔结合,12
成都合院公园里,3,2,124.6平米,西南,精装,1700000,1620000,13002,低楼层(共18层) 2015年建板塔结合,196
传化国际新城,3,1,90.74平米,南,其他,880000,850000,9368,低楼层(共34层) 2015年建板塔结合,2
南城都汇汇翠园一期,2,2,92.56平米,南,简装,1990000,1970000,21283,高楼层(共16层) 2009年建板塔结合,51
宏达世纪丽景,3,2,100平米,南 北,精装,1458000,1460000,14580,高楼层(共13层) 板塔结合,58
西财学府憬城,3,2,89.49平米,东南,精装,1090000,1060000,11845,高楼层(共26层) 2014年建板塔结合,80
三都汇朝外,3,1,104平米,南 北,简装,1600000,1600000,15385,低楼层(共32层) 塔楼,422
理想城,3,1,70平米,东南,毛坯,1200000,1200000,17143,低楼层(共32层) 2017年建塔楼,460
凯德风尚,3,1,91.67平米,东,精装,2150000,2120000,23127,低楼层(共19层) 2012年建板塔结合,21
蔚蓝卡地亚花园城,4,2,175平米,南,毛坯,5100000,5000000,28560,高楼层(共43层) 2011年建板塔结合,66
恒大曹家巷广场,3,2,88.58平米,西北,精装,2060000,2040000,23031,低楼层(共39层) 2018年建塔楼,222
卓锦城五期,3,2,87.49平米,南,精装,2220000,2220000,25375,低楼层(共33层) 2012年建塔楼,202
上锦颐园,4,1,87.18平米,东南,简装,880000,880000,10095,低楼层(共24层) 2008年建板楼,44
天府南苑,2,1,61.7平米,南,简装,830000,810000,13129,中楼层(共7层) 1996年建板楼,335
金河谷五期,3,1,88.92平米,南,精装,1250000,1230000,13777,高楼层(共34层) 2016年建板塔结合,21
成都A区,2,1,79.55平米,东南,精装,1450000,1450000,18228,低楼层(共18层) 2011年建板塔结合,132
航天乙一区,2,1,74.6平米,南,其他,620000,610000,8177,高楼层(共6层) 暂无数据,19
中鹏花园C区,3,2,110.31平米,东,简装,1038000,1040000,9410,中楼层(共6层) 1998年建板楼,17
中铁伊萨贝拉,2,1,84.46平米,东南,简装,860000,860000,10183,低楼层(共16层) 2010年建板塔结合,59
清水河畔,2,2,75.67平米,北,简装,950000,930000,12291,低楼层(共23层) 2008年建板塔结合,171
美茵河谷,3,1,132.75平米,东南,简装,1550000,1520000,11413,中楼层(共6层) 2007年建板塔结合,218
华都美林湾,2,1,86.7平米,西,精装,1450000,1450000,16725,低楼层(共33层) 2012年建板塔结合,38
皇后国际,2,1,67.87平米,东,精装,2760000,2760000,40666,低楼层(共32层) 2009年建板塔结合,904
南湖逸家二期,3,2,73.77平米,南,精装,1280000,1270000,17162,低楼层(共34层) 2017年建板塔结合,36
中华园华苑,2,1,104.31平米,南,精装,1920000,1920000,18407,中楼层(共11层) 2004年建板楼,60
浣花香,3,2,158.42平米,南 西北,毛坯,3950000,3900000,24619,低楼层(共28层) 2013年建板楼,153
天立香缇华府,3,1,79.5平米,东南,精装,1010000,1010000,12705,低楼层(共23层) 2016年建板塔结合,33
阳光地中海,2,1,72.9平米,南,简装,840000,830000,11359,中楼层(共11层) 2010年建塔楼,73
学府嘉苑,2,2,76.43平米,东,精装,880000,880000,11449,中楼层(共6层) 2007年建板楼,16
现代城人民公园,1,1,55.91平米,东北,简装,790000,790000,14130,低楼层(共23层) 2004年建板楼,34
锦丽华庭,2,2,79.73平米,东,其他,980000,960000,12029,高楼层(共17层) 2012年建板楼,56
泉水北苑,2,1,72.4平米,南 北,简装,750000,750000,10360,低楼层(共6层) 2003年建板楼,147
南阳锦城,2,2,91.81平米,东,简装,1450000,1450000,15794,高楼层(共18层) 2008年建板塔结合,25
蜀郡又一城,3,2,100.2平米,西,毛坯,1830000,1800000,17915,低楼层(共31层) 2014年建塔楼,37
保利花园二期,3,1,136.98平米,西北 北,精装,3118000,3120000,22763,高楼层(共17层) 2012年建板塔结合,189
橙郡一期,3,2,122.22平米,西南,精装,1600000,1530000,12519,低楼层(共17层) 2007年建板楼,281
方正东街28号,2,1,51.85平米,东南,简装,590000,590000,11379,低楼层(共7层) 1990年建板塔结合,217
同森锦熙,4,2,106.32平米,东北,毛坯,950000,900000,8466,高楼层(共34层) 2018年建板塔结合,19
浅水半岛一期,3,2,121平米,东南,其他,2098000,2080000,17191,中楼层(共27层) 2008年建板塔结合,13
新城市广场,1,1,47.23平米,东南,简装,951000,960000,20136,中楼层(共30层) 2003年建板塔结合,157
清溪雅筑,2,2,74.91平米,南,精装,1090000,1090000,14551,高楼层(共18层) 2012年建塔楼,15
上林宽境,3,2,151.18平米,东南,简装,1520000,1500000,9896,低楼层(共6层) 2006年建板塔结合,344
锦江城市花园一期,2,2,116.13平米,南,精装,1560000,1560000,13434,低楼层(共34层) 2009年建板塔结合,44
阳光100米娅中心一期,1,1,45.78平米,西北,精装,730000,730000,15793,低楼层(共27层) 2012年建板塔结合,216
西林小区,2,2,80.5平米,南,简装,770000,770000,9566,中楼层(共7层) 2000年建板楼,343
凯德卓锦万黛,2,1,77.23平米,东南 东,精装,1240000,1210000,15668,高楼层(共39层) 2015年建塔楼,17
东骏湖景湾四期,3,2,98.46平米,西北,简装,1320000,1320000,13407,中楼层(共18层) 2010年建板塔结合,216
佳兆业君汇上品,2,1,79.5平米,东,精装,1480000,1460000,18365,高楼层(共33层) 2013年建板塔结合,14
源上湾万融城三期D区,2,2,65.5平米,北,精装,750000,740000,11295,高楼层(共31层) 板塔结合,22
南湖国际社区,4,1,186平米,东南,毛坯,2900000,2800000,15054,中楼层(共34层) 2010年建板塔结合,183
金象花园三期,2,1,70.9平米,南,简装,998000,1000000,14077,高楼层(共6层) 2003年建板楼,67
天慧国际外滩,3,2,98.74平米,西,简装,1180000,1140000,11544,高楼层(共24层) 板塔结合,56
蓝光花满庭一期,2,2,75.76平米,南 北,精装,1148000,1150000,15154,低楼层(共20层) 2009年建板塔结合,11
南湖国际社区一期,2,1,77.58平米,西,毛坯,1300000,1300000,16757,低楼层(共34层) 2010年建塔楼,56
书香府邸二期英伦,2,2,97.3平米,东北,精装,1220000,1220000,12539,高楼层(共16层) 2011年建板楼,700
锦都四期,1,1,68.24平米,南,简装,1980000,1980000,29016,低楼层(共33层) 2008年建板楼,8
莱茵北郡二期,3,2,89.15平米,西北,简装,900000,890000,9984,中楼层(共16层) 板塔结合,21
金南园,4,2,161平米,南,简装,1550000,1550000,9628,高楼层(共6层) 2004年建板楼,268
莲花新一区,2,1,68.35平米,东南,简装,910000,880000,12875,中楼层(共7层) 2002年建板楼,13
正成名城左岸,2,2,80.3平米,东北,简装,728000,720000,8917,中楼层(共28层) 2008年建板塔结合,4
沙湾东一路6号,2,2,62.61平米,南,精装,580000,580000,9264,高楼层(共7层) 1999年建板楼,35
美城悦荣府,2,1,65.28平米,北,简装,1396000,1380000,21091,高楼层(共34层) 2017年建板塔结合,45
金恒德时代金悦,3,1,86.78平米,南,其他,1120000,1120000,12907,高楼层(共31层) 板塔结合,1
海天阁,2,1,82.62平米,东南,精装,1170000,1170000,14162,高楼层(共6层) 2003年建板楼,525
金仙桥路6号,2,1,66.3平米,西南,简装,760000,760000,11464,中楼层(共7层) 1993年建板楼,67
锦绣西苑一期,3,2,104.17平米,东南 东,其他,950000,900000,8640,低楼层(共6层) 2003年建板楼,3
南湖半岛,3,1,105平米,东北,毛坯,1600000,1570000,14915,中楼层(共33层) 2015年建塔楼,230
恒大新城一期,3,2,100平米,东南,其他,1350000,1280000,12800,中楼层(共30层) 2016年建板塔结合,5
锦卉苑,2,2,97.08平米,东南,简装,1120000,1080000,11074,高楼层(共7层) 2000年建板楼,55
水岸华庭,2,1,81平米,东南,简装,1220000,1220000,15062,高楼层(共28层) 2009年建塔楼,17
远大中央公园,3,2,95.27平米,东,毛坯,1610000,1590000,16690,低楼层(共33层) 2019年建板塔结合,182
恒大曹家巷广场,2,2,77.79平米,西南,精装,1640000,1640000,21083,高楼层(共42层) 2018年建板楼,135
